race,num_examples,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,TNR,FNR,Precision,Accuracy,threshold
African-American,1537,0.5465191932335719,0.4222511385816526,467,182,515,373,0.555952380952381,0.2611190817790531,0.7388809182209469,0.444047619047619,0.7195685670261941,0.6389069616135329,equal_opportunity
NonAfrican-American,1300,0.42923076923076925,0.41615384615384615,308,233,509,250,0.5519713261648745,0.3140161725067385,0.6859838274932615,0.44802867383512546,0.5693160813308688,0.6284615384615385,equal_opportunity
