race,num_examples,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,TNR,FNR,Precision,Accuracy,threshold
African-American,1537,0.5465191932335719,0.4222511385816526,467,182,515,373,0.555952380952381,0.2611190817790531,0.7388809182209469,0.444047619047619,0.7195685670261941,0.6389069616135329,demographic_parity
Asian,15,0.2,0.6,3,6,6,0,1.0,0.5,0.5,0.0,0.3333333333333333,0.6,demographic_parity
Caucasian,924,0.4577922077922078,0.4166666666666667,231,154,347,192,0.5460992907801419,0.3073852295409182,0.6926147704590818,0.45390070921985815,0.6,0.6255411255411255,demographic_parity
Hispanic,210,0.36666666666666664,0.41904761904761906,50,38,95,27,0.6493506493506493,0.2857142857142857,0.7142857142857143,0.35064935064935066,0.5681818181818182,0.6904761904761905,demographic_parity
Native American,10,0.6,0.4,4,0,4,2,0.6666666666666666,0.0,1.0,0.3333333333333333,1.0,0.8,demographic_parity
Other,141,0.3475177304964539,0.4326241134751773,32,29,63,17,0.6530612244897959,0.31521739130434784,0.6847826086956522,0.3469387755102041,0.5245901639344263,0.6737588652482269,demographic_parity
