race,num_examples,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,TNR,FNR,Precision,Accuracy,threshold
African-American,1537,0.5465191932335719,0.33897202342225113,380,141,556,460,0.4523809523809524,0.20229555236728838,0.7977044476327116,0.5476190476190477,0.7293666026871402,0.6089785296031229,equalized_odds
Asian,15,0.2,0.3333333333333333,1,4,8,2,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2,0.6,equalized_odds
Caucasian,924,0.4577922077922078,0.31926406926406925,189,106,395,234,0.44680851063829785,0.21157684630738524,0.7884231536926147,0.5531914893617021,0.6406779661016949,0.6320346320346321,equalized_odds
Hispanic,210,0.36666666666666664,0.29523809523809524,36,26,107,41,0.4675324675324675,0.19548872180451127,0.8045112781954887,0.5324675324675324,0.5806451612903226,0.680952380952381,equalized_odds
Native American,10,0.6,0.5,4,1,3,2,0.6666666666666666,0.25,0.75,0.3333333333333333,0.8,0.7,equalized_odds
Other,141,0.3475177304964539,0.28368794326241137,23,17,75,26,0.46938775510204084,0.18478260869565216,0.8152173913043478,0.5306122448979592,0.575,0.6950354609929078,equalized_odds
