race,num_examples,TPR,FPR,threshold
Asian,15,1.0,1.0,0.24
Native American,10,1.0,1.0,0.24
Other,141,1.0,1.0,0.25
Caucasian,924,1.0,1.0,0.25
African-American,1537,1.0,1.0,0.25
Hispanic,210,1.0,1.0,0.25
Asian,15,1.0,1.0,0.25
Native American,10,1.0,1.0,0.25
Other,141,1.0,1.0,0.26
Caucasian,924,1.0,1.0,0.26
African-American,1537,1.0,1.0,0.26
Hispanic,210,1.0,1.0,0.26
Asian,15,1.0,1.0,0.26
Native American,10,1.0,1.0,0.26
Other,141,1.0,1.0,0.27
Caucasian,924,1.0,1.0,0.27
African-American,1537,1.0,1.0,0.27
Hispanic,210,1.0,1.0,0.27
Asian,15,1.0,1.0,0.27
Native American,10,1.0,1.0,0.27
Other,141,1.0,1.0,0.28
Caucasian,924,1.0,1.0,0.28
African-American,1537,1.0,1.0,0.28
Hispanic,210,1.0,1.0,0.28
Asian,15,1.0,1.0,0.28
Native American,10,1.0,1.0,0.28
Other,141,1.0,1.0,0.29
Caucasian,924,1.0,1.0,0.29
African-American,1537,1.0,1.0,0.29
Hispanic,210,1.0,1.0,0.29
Asian,15,1.0,1.0,0.29
Native American,10,1.0,1.0,0.29
Other,141,1.0,1.0,0.3
Caucasian,924,1.0,1.0,0.3
African-American,1537,1.0,1.0,0.3
Hispanic,210,1.0,1.0,0.3
Asian,15,1.0,1.0,0.3
Native American,10,1.0,1.0,0.3
Other,141,1.0,1.0,0.31
Caucasian,924,1.0,1.0,0.31
African-American,1537,1.0,1.0,0.31
Hispanic,210,1.0,1.0,0.31
Asian,15,1.0,1.0,0.31
Native American,10,1.0,1.0,0.31
Other,141,1.0,1.0,0.32
Caucasian,924,1.0,1.0,0.32
African-American,1537,1.0,1.0,0.32
Hispanic,210,1.0,1.0,0.32
Asian,15,1.0,1.0,0.32
Native American,10,1.0,1.0,0.32
Other,141,1.0,1.0,0.33
Caucasian,924,1.0,1.0,0.33
African-American,1537,1.0,1.0,0.33
Hispanic,210,1.0,1.0,0.33
Asian,15,1.0,1.0,0.33
Native American,10,1.0,1.0,0.33
Other,141,1.0,1.0,0.34
Caucasian,924,1.0,1.0,0.34
African-American,1537,1.0,1.0,0.34
Hispanic,210,1.0,1.0,0.34
Asian,15,1.0,1.0,0.34
Native American,10,1.0,1.0,0.34
Other,141,1.0,1.0,0.35000000000000003
Caucasian,924,1.0,1.0,0.35000000000000003
African-American,1537,0.9988095238095238,1.0,0.35000000000000003
Hispanic,210,1.0,1.0,0.35000000000000003
Asian,15,1.0,1.0,0.35000000000000003
Native American,10,1.0,1.0,0.35000000000000003
Other,141,1.0,1.0,0.36
Caucasian,924,1.0,1.0,0.36
African-American,1537,0.9988095238095238,1.0,0.36
Hispanic,210,1.0,1.0,0.36
Asian,15,1.0,1.0,0.36
Native American,10,1.0,1.0,0.36
Other,141,1.0,0.9891304347826086,0.37
Caucasian,924,1.0,1.0,0.37
African-American,1537,0.9988095238095238,1.0,0.37
Hispanic,210,1.0,1.0,0.37
Asian,15,1.0,1.0,0.37
Native American,10,1.0,1.0,0.37
Other,141,1.0,0.9891304347826086,0.38
Caucasian,924,1.0,0.998003992015968,0.38
African-American,1537,0.9988095238095238,0.9985652797704447,0.38
Hispanic,210,1.0,1.0,0.38
Asian,15,1.0,1.0,0.38
Native American,10,1.0,1.0,0.38
Other,141,1.0,0.9891304347826086,0.39
Caucasian,924,1.0,0.9940119760479041,0.39
African-American,1537,0.9976190476190476,0.9985652797704447,0.39
Hispanic,210,1.0,1.0,0.39
Asian,15,1.0,1.0,0.39
Native American,10,1.0,1.0,0.39
Other,141,1.0,0.9891304347826086,0.4
Caucasian,924,0.9976359338061466,0.9920159680638723,0.4
African-American,1537,0.9976190476190476,0.9956958393113343,0.4
Hispanic,210,1.0,1.0,0.4
Asian,15,1.0,1.0,0.4
Native American,10,1.0,1.0,0.4
Other,141,1.0,0.9891304347826086,0.41000000000000003
Caucasian,924,0.9976359338061466,0.9820359281437125,0.41000000000000003
African-American,1537,0.9976190476190476,0.994261119081779,0.41000000000000003
Hispanic,210,1.0,1.0,0.41000000000000003
Asian,15,1.0,1.0,0.41000000000000003
Native American,10,1.0,1.0,0.41000000000000003
Other,141,1.0,0.9782608695652174,0.42
Caucasian,924,0.9929078014184397,0.9740518962075848,0.42
African-American,1537,0.9940476190476191,0.9870875179340028,0.42
Hispanic,210,1.0,1.0,0.42
Asian,15,1.0,1.0,0.42
Native American,10,1.0,1.0,0.42
Other,141,1.0,0.9565217391304348,0.43
Caucasian,924,0.966903073286052,0.9461077844311377,0.43
African-American,1537,0.9892857142857143,0.9655667144906743,0.43
Hispanic,210,1.0,0.9624060150375939,0.43
Asian,15,1.0,0.9166666666666666,0.43
Native American,10,1.0,1.0,0.43
Other,141,0.9795918367346939,0.8913043478260869,0.44
Caucasian,924,0.9314420803782506,0.8622754491017964,0.44
African-American,1537,0.9785714285714285,0.9239598278335724,0.44
Hispanic,210,0.974025974025974,0.8872180451127819,0.44
Asian,15,1.0,0.9166666666666666,0.44
Native American,10,1.0,1.0,0.44
Other,141,0.9591836734693877,0.7934782608695652,0.45
Caucasian,924,0.8628841607565012,0.720558882235529,0.45
African-American,1537,0.9523809523809523,0.8593974175035868,0.45
Hispanic,210,0.8961038961038961,0.8120300751879699,0.45
Asian,15,0.6666666666666666,0.5833333333333334,0.45
Native American,10,1.0,0.75,0.45
Other,141,0.8163265306122449,0.6195652173913043,0.46
Caucasian,924,0.7635933806146572,0.5508982035928144,0.46
African-American,1537,0.8904761904761904,0.7474892395982783,0.46
Hispanic,210,0.7792207792207793,0.6165413533834586,0.46
Asian,15,0.3333333333333333,0.4166666666666667,0.46
Native American,10,1.0,0.5,0.46
Other,141,0.6938775510204082,0.40217391304347827,0.47000000000000003
Caucasian,924,0.5815602836879432,0.37524950099800397,0.47000000000000003
African-American,1537,0.8130952380952381,0.5810616929698709,0.47000000000000003
Hispanic,210,0.6753246753246753,0.3684210526315789,0.47000000000000003
Asian,15,0.3333333333333333,0.25,0.47000000000000003
Native American,10,0.8333333333333334,0.0,0.47000000000000003
Other,141,0.46938775510204084,0.11956521739130435,0.48
Caucasian,924,0.3546099290780142,0.1437125748502994,0.48
African-American,1537,0.5892857142857143,0.3113342898134864,0.48
Hispanic,210,0.33766233766233766,0.12781954887218044,0.48
Asian,15,0.3333333333333333,0.08333333333333333,0.48
Native American,10,0.5,0.0,0.48
Other,141,0.02040816326530612,0.0,0.49
Caucasian,924,0.10638297872340426,0.023952095808383235,0.49
African-American,1537,0.25357142857142856,0.08034433285509325,0.49
Hispanic,210,0.05194805194805195,0.03007518796992481,0.49
Asian,15,0.0,0.0,0.49
Native American,10,0.5,0.0,0.49
Other,141,0.0,0.0,0.5
Caucasian,924,0.018912529550827423,0.001996007984031936,0.5
African-American,1537,0.06904761904761905,0.015781922525107604,0.5
Hispanic,210,0.025974025974025976,0.007518796992481203,0.5
Asian,15,0.0,0.0,0.5
Native American,10,0.16666666666666666,0.0,0.5
Other,141,0.0,0.0,0.51
Caucasian,924,0.0,0.001996007984031936,0.51
African-American,1537,0.01904761904761905,0.007173601147776184,0.51
Hispanic,210,0.0,0.0,0.51
Asian,15,0.0,0.0,0.51
Native American,10,0.16666666666666666,0.0,0.51
Other,141,0.0,0.0,0.52
Caucasian,924,0.0,0.0,0.52
African-American,1537,0.007142857142857143,0.0028694404591104736,0.52
Hispanic,210,0.0,0.0,0.52
Asian,15,0.0,0.0,0.52
Native American,10,0.0,0.0,0.52
Other,141,0.0,0.0,0.53
Caucasian,924,0.0,0.0,0.53
African-American,1537,0.0035714285714285713,0.0,0.53
Hispanic,210,0.0,0.0,0.53
Asian,15,0.0,0.0,0.53
Native American,10,0.0,0.0,0.53
Other,141,0.0,0.0,0.54
Caucasian,924,0.0,0.0,0.54
African-American,1537,0.0,0.0,0.54
Hispanic,210,0.0,0.0,0.54
Asian,15,0.0,0.0,0.54
Native American,10,0.0,0.0,0.54
Other,141,0.0,0.0,0.55
Caucasian,924,0.0,0.0,0.55
African-American,1537,0.0,0.0,0.55
Hispanic,210,0.0,0.0,0.55
Asian,15,0.0,0.0,0.55
Native American,10,0.0,0.0,0.55
Other,141,0.0,0.0,0.56
Caucasian,924,0.0,0.0,0.56
African-American,1537,0.0,0.0,0.56
Hispanic,210,0.0,0.0,0.56
Asian,15,0.0,0.0,0.56
Native American,10,0.0,0.0,0.56
Other,141,0.0,0.0,0.5700000000000001
Caucasian,924,0.0,0.0,0.5700000000000001
African-American,1537,0.0,0.0,0.5700000000000001
Hispanic,210,0.0,0.0,0.5700000000000001
Asian,15,0.0,0.0,0.5700000000000001
Native American,10,0.0,0.0,0.5700000000000001
Other,141,0.0,0.0,0.58
Caucasian,924,0.0,0.0,0.58
African-American,1537,0.0,0.0,0.58
Hispanic,210,0.0,0.0,0.58
Asian,15,0.0,0.0,0.58
Native American,10,0.0,0.0,0.58
Other,141,0.0,0.0,0.59
Caucasian,924,0.0,0.0,0.59
African-American,1537,0.0,0.0,0.59
Hispanic,210,0.0,0.0,0.59
Asian,15,0.0,0.0,0.59
Native American,10,0.0,0.0,0.59
Other,141,0.0,0.0,0.6
Caucasian,924,0.0,0.0,0.6
African-American,1537,0.0,0.0,0.6
Hispanic,210,0.0,0.0,0.6
Asian,15,0.0,0.0,0.6
Native American,10,0.0,0.0,0.6
Other,141,0.0,0.0,0.61
Caucasian,924,0.0,0.0,0.61
African-American,1537,0.0,0.0,0.61
Hispanic,210,0.0,0.0,0.61
Asian,15,0.0,0.0,0.61
Native American,10,0.0,0.0,0.61
Other,141,0.0,0.0,0.62
Caucasian,924,0.0,0.0,0.62
African-American,1537,0.0,0.0,0.62
Hispanic,210,0.0,0.0,0.62
Asian,15,0.0,0.0,0.62
Native American,10,0.0,0.0,0.62
Other,141,0.0,0.0,0.63
Caucasian,924,0.0,0.0,0.63
African-American,1537,0.0,0.0,0.63
