<<<<<<< HEAD
race,FPR,TPR,threshold,auc,n
Other,0.0,0.0,inf,0.7074090505767524,141
Other,0.0,0.02040816326530612,0.4900923917769368,0.7074090505767524,141
Other,0.021739130434782608,0.02040816326530612,0.4882367679734572,0.7074090505767524,141
Other,0.021739130434782608,0.08163265306122448,0.4852399833354985,0.7074090505767524,141
Other,0.03260869565217391,0.08163265306122448,0.4851760777187093,0.7074090505767524,141
Other,0.03260869565217391,0.16326530612244897,0.48381468634899605,0.7074090505767524,141
Other,0.043478260869565216,0.16326530612244897,0.48379648495617816,0.7074090505767524,141
Other,0.043478260869565216,0.20408163265306123,0.48377422971952827,0.7074090505767524,141
Other,0.05434782608695652,0.20408163265306123,0.4832434742876766,0.7074090505767524,141
Other,0.07608695652173914,0.20408163265306123,0.4825532038880073,0.7074090505767524,141
Other,0.07608695652173914,0.24489795918367346,0.4824159719109274,0.7074090505767524,141
Other,0.08695652173913043,0.24489795918367346,0.48187704047055235,0.7074090505767524,141
Other,0.08695652173913043,0.2857142857142857,0.48187307415361963,0.7074090505767524,141
Other,0.09782608695652174,0.2857142857142857,0.4815659870301133,0.7074090505767524,141
Other,0.09782608695652174,0.3469387755102041,0.4805103280709163,0.7074090505767524,141
Other,0.11956521739130435,0.3469387755102041,0.48042269922559455,0.7074090505767524,141
Other,0.11956521739130435,0.3877551020408163,0.4800517337907924,0.7074090505767524,141
Other,0.11956521739130435,0.40816326530612246,0.480032336309917,0.7074090505767524,141
Other,0.11956521739130435,0.46938775510204084,0.48002834017797347,0.7074090505767524,141
Other,0.11956521739130435,0.4897959183673469,0.47935663391572864,0.7074090505767524,141
Other,0.13043478260869565,0.4897959183673469,0.47927247808963386,0.7074090505767524,141
Other,0.15217391304347827,0.4897959183673469,0.4785686048522833,0.7074090505767524,141
Other,0.17391304347826086,0.4897959183673469,0.4782746206470872,0.7074090505767524,141
Other,0.17391304347826086,0.5102040816326531,0.47823217085640896,0.7074090505767524,141
Other,0.21739130434782608,0.5102040816326531,0.4777123400456923,0.7074090505767524,141
Other,0.2391304347826087,0.5102040816326531,0.4761251130331161,0.7074090505767524,141
Other,0.29347826086956524,0.5102040816326531,0.4743595139793798,0.7074090505767524,141
Other,0.29347826086956524,0.5306122448979592,0.47404342801205257,0.7074090505767524,141
Other,0.30434782608695654,0.5306122448979592,0.4739099072183436,0.7074090505767524,141
Other,0.30434782608695654,0.5510204081632653,0.4736763122368372,0.7074090505767524,141
Other,0.31521739130434784,0.5510204081632653,0.47265371714183335,0.7074090505767524,141
Other,0.31521739130434784,0.5918367346938775,0.47237252294929544,0.7074090505767524,141
Other,0.31521739130434784,0.6326530612244898,0.47233028824322937,0.7074090505767524,141
Other,0.33695652173913043,0.6326530612244898,0.47229112511791493,0.7074090505767524,141
Other,0.3695652173913043,0.6326530612244898,0.47121767950551824,0.7074090505767524,141
Other,0.3695652173913043,0.6530612244897959,0.4710971207818303,0.7074090505767524,141
Other,0.391304347826087,0.6530612244897959,0.47101504612081185,0.7074090505767524,141
Other,0.391304347826087,0.6938775510204082,0.4706784315020601,0.7074090505767524,141
Other,0.40217391304347827,0.6938775510204082,0.4700966764642772,0.7074090505767524,141
Other,0.40217391304347827,0.7142857142857143,0.46928950378762696,0.7074090505767524,141
Other,0.43478260869565216,0.7142857142857143,0.4685638941769556,0.7074090505767524,141
Other,0.43478260869565216,0.7346938775510204,0.4683998549483822,0.7074090505767524,141
Other,0.5,0.7346938775510204,0.4664982506836981,0.7074090505767524,141
Other,0.5,0.7551020408163265,0.4660778558459771,0.7074090505767524,141
Other,0.5217391304347826,0.7551020408163265,0.4652243955211493,0.7074090505767524,141
Other,0.5217391304347826,0.7755102040816326,0.4648140213433278,0.7074090505767524,141
