race,num_examples,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,TNR,FNR,Precision,Accuracy,threshold
African-American,1537,0.5465191932335719,0.044892648015614836,58,11,686,782,0.06904761904761905,0.015781922525107604,0.9842180774748924,0.930952380952381,0.8405797101449275,0.4840598568640208,0.5
Asian,15,0.2,0.0,0,0,12,3,0.0,0.0,1.0,1.0,,0.8,0.5
Caucasian,924,0.4577922077922078,0.006493506493506494,5,1,500,418,0.01182033096926714,0.001996007984031936,0.998003992015968,0.9881796690307328,0.8333333333333334,0.5465367965367965,0.5
Hispanic,210,0.36666666666666664,0.014285714285714285,2,1,132,75,0.025974025974025976,0.007518796992481203,0.9924812030075187,0.974025974025974,0.6666666666666666,0.638095238095238,0.5
Native American,10,0.6,0.1,1,0,4,5,0.16666666666666666,0.0,1.0,0.8333333333333334,1.0,0.5,0.5
Other,141,0.3475177304964539,0.0,0,0,92,49,0.0,0.0,1.0,1.0,,0.6524822695035462,0.5
