race,num_examples,TPR,FPR,threshold
Other,2886,0.9925220938137321,0.9363957597173145,0.2
Caucasian,629,0.9343629343629344,0.827027027027027,0.2
African-American,174,0.9836065573770492,0.8230088495575221,0.2
Hispanic,1186,0.9808429118773946,0.8870481927710844,0.2
Asian,1873,0.9904580152671756,0.9696969696969697,0.2
Native American,262,0.9230769230769231,0.8128654970760234,0.2
Other,2886,0.9857239972807614,0.9229681978798586,0.21000000000000002
Caucasian,629,0.918918918918919,0.8162162162162162,0.21000000000000002
African-American,174,0.9672131147540983,0.8141592920353983,0.21000000000000002
Hispanic,1186,0.9655172413793104,0.8719879518072289,0.21000000000000002
Asian,1873,0.9895038167938931,0.9636363636363636,0.21000000000000002
Native American,262,0.8791208791208791,0.7719298245614035,0.21000000000000002
Other,2886,0.9843643779741672,0.9088339222614841,0.22
Caucasian,629,0.9034749034749034,0.7918918918918919,0.22
African-American,174,0.9508196721311475,0.7964601769911505,0.22
Hispanic,1186,0.9559386973180076,0.8539156626506024,0.22
Asian,1873,0.9895038167938931,0.9515151515151515,0.22
Native American,262,0.8791208791208791,0.7485380116959064,0.22
Other,2886,0.9809653297076818,0.8904593639575972,0.23
Caucasian,629,0.8996138996138996,0.7756756756756756,0.23
African-American,174,0.9508196721311475,0.7699115044247787,0.23
Hispanic,1186,0.9482758620689655,0.8298192771084337,0.23
Asian,1873,0.9885496183206107,0.9418181818181818,0.23
Native American,262,0.8681318681318682,0.7192982456140351,0.23
Other,2886,0.9762066621346023,0.8742049469964664,0.24000000000000002
Caucasian,629,0.8996138996138996,0.7648648648648648,0.24000000000000002
African-American,174,0.9508196721311475,0.7522123893805309,0.24000000000000002
Hispanic,1186,0.9425287356321839,0.8087349397590361,0.24000000000000002
Asian,1873,0.9847328244274809,0.9321212121212121,0.24000000000000002
Native American,262,0.8681318681318682,0.7017543859649122,0.24000000000000002
Other,2886,0.9741672331747111,0.8544169611307421,0.25
Caucasian,629,0.8957528957528957,0.7324324324324324,0.25
African-American,174,0.9508196721311475,0.7345132743362832,0.25
Hispanic,1186,0.9406130268199234,0.7786144578313253,0.25
Asian,1873,0.9837786259541985,0.92,0.25
Native American,262,0.8461538461538461,0.6549707602339181,0.25
Other,2886,0.9687287559483345,0.8374558303886925,0.26
Caucasian,629,0.8725868725868726,0.7108108108108108,0.26
African-American,174,0.9508196721311475,0.7168141592920354,0.26
Hispanic,1186,0.9329501915708812,0.7560240963855421,0.26
Asian,1873,0.9751908396946565,0.9054545454545454,0.26
Native American,262,0.8351648351648352,0.6432748538011696,0.26
Other,2886,0.9660095173351462,0.8268551236749117,0.27
Caucasian,629,0.8725868725868726,0.6810810810810811,0.27
African-American,174,0.9344262295081968,0.6991150442477876,0.27
Hispanic,1186,0.9291187739463601,0.7424698795180723,0.27
Asian,1873,0.9742366412213741,0.8921212121212121,0.27
Native American,262,0.8351648351648352,0.6257309941520468,0.27
Other,2886,0.9592114208021754,0.8014134275618374,0.28
Caucasian,629,0.8571428571428571,0.6567567567567567,0.28
African-American,174,0.9344262295081968,0.6548672566371682,0.28
Hispanic,1186,0.9137931034482759,0.7168674698795181,0.28
Asian,1873,0.9713740458015268,0.8739393939393939,0.28
Native American,262,0.8021978021978022,0.5789473684210527,0.28
Other,2886,0.9564921821889871,0.7872791519434629,0.29000000000000004
Caucasian,629,0.8494208494208494,0.6189189189189189,0.29000000000000004
African-American,174,0.9344262295081968,0.6460176991150443,0.29000000000000004
Hispanic,1186,0.9080459770114943,0.6897590361445783,0.29000000000000004
Asian,1873,0.9694656488549618,0.8642424242424243,0.29000000000000004
Native American,262,0.7912087912087912,0.543859649122807,0.29000000000000004
Other,2886,0.9496940856560163,0.7710247349823321,0.3
Caucasian,629,0.8455598455598455,0.5918918918918918,0.3
African-American,174,0.9344262295081968,0.5929203539823009,0.3
Hispanic,1186,0.9042145593869731,0.6746987951807228,0.3
Asian,1873,0.9618320610687023,0.8496969696969697,0.3
Native American,262,0.7802197802197802,0.5146198830409356,0.3
Other,2886,0.9422161794697484,0.7590106007067138,0.31
Caucasian,629,0.833976833976834,0.581081081081081,0.31
African-American,174,0.9180327868852459,0.5752212389380531,0.31
Hispanic,1186,0.8850574712643678,0.6551204819277109,0.31
Asian,1873,0.9618320610687023,0.8472727272727273,0.31
Native American,262,0.7472527472527473,0.49122807017543857,0.31
Other,2886,0.9320190346702923,0.7420494699646644,0.32
Caucasian,629,0.806949806949807,0.5675675675675675,0.32
African-American,174,0.8688524590163934,0.5663716814159292,0.32
Hispanic,1186,0.8639846743295019,0.6430722891566265,0.32
Asian,1873,0.9561068702290076,0.833939393939394,0.32
Native American,262,0.7362637362637363,0.4444444444444444,0.32
Other,2886,0.9245411284840245,0.7215547703180212,0.33
Caucasian,629,0.7760617760617761,0.5432432432432432,0.33
African-American,174,0.8524590163934426,0.5398230088495575,0.33
Hispanic,1186,0.842911877394636,0.6174698795180723,0.33
Asian,1873,0.9522900763358778,0.8157575757575758,0.33
Native American,262,0.7032967032967034,0.4269005847953216,0.33
Other,2886,0.9136641740312712,0.703886925795053,0.34
Caucasian,629,0.7683397683397684,0.518918918918919,0.34
African-American,174,0.8524590163934426,0.504424778761062,0.34
Hispanic,1186,0.8295019157088123,0.5933734939759037,0.34
Asian,1873,0.941793893129771,0.8048484848484848,0.34
Native American,262,0.7032967032967034,0.40350877192982454,0.34
Other,2886,0.9068660774983005,0.6833922261484099,0.35000000000000003
Caucasian,629,0.7451737451737451,0.4864864864864865,0.35000000000000003
African-American,174,0.8524590163934426,0.49557522123893805,0.35000000000000003
Hispanic,1186,0.8180076628352491,0.5647590361445783,0.35000000000000003
Asian,1873,0.933206106870229,0.7842424242424243,0.35000000000000003
Native American,262,0.6923076923076923,0.38011695906432746,0.35000000000000003
Other,2886,0.9000679809653297,0.6586572438162545,0.36000000000000004
Caucasian,629,0.7142857142857143,0.45675675675675675,0.36000000000000004
African-American,174,0.8360655737704918,0.4778761061946903,0.36000000000000004
Hispanic,1186,0.8065134099616859,0.5391566265060241,0.36000000000000004
